Price(Dollars/Unit),Year,HarvestedAcres,Production
622,1980,22261,80112
732,1981,22152,80155
773,1982,24168,98687
714,1983,25245,89084
768,1984,24831,99996
772,1985,25690,101407
757,1986,27653,113220
820,1987,28970,100180
982,1988,29243,99777
1157,1989,27858,132849
1229,1990,28846,114304
1260,1991,29993,138322
1240,1992,31155,135256
1205,1993,32034,111589
1213,1994,32239,121292
1310,1995,31514,109842
1512,1996,30919,100251
1724,1997,31184,144217
1910,1998,30875,102355
2143,1999,30506,103526
2464,2000,32365,136962
2802,2001,35095,126438
2920,2002,37072,130099
2985.7,2003,39106,128814
2915.56,2004,40439,119874
2987.43,2005,41910,181025
3070.33,2006,42188,152776
3256.77,2007,42338,145115
3451.57,2008,42870,115864
3462.25,2009,43031,142976
3265.35,2010,43300,139000
3470.84,2011,43600,122000
3585.99,2012,43200,183000
3749.91,2013,43600,175000
4061.43,2014,43600,176000
4410.76,2015,43000,124000
4768.02,2016,43400,153000
5287.55,2017,43600,142000
5614.05,2018,43400,185000
5862.26,2019,44200,160000
4646.48,2020,45200,99300