Price(Dollars/Unit),Tahun,HarvestedAcres,Production
622,2020,22261,80112
732,2019,22152,80155
773,2018,24168,98687
714,2017,25245,89084
768,2016,24831,99996
772,2015,25690,101407
757,2014,27653,113220
820,2013,28970,100180
982,2012,29243,99777
1157,2011,27858,132849
1229,2010,28846,114304
1260,2009,29993,138322
1240,2008,31155,135256
1205,2007,32034,111589
1213,2006,32239,121292
1310,2005,31514,109842
1512,2004,30919,100251
1724,2003,31184,144217
1910,2002,30875,102355
2143,2001,30506,103526
2464,2000,32365,136962
2802,1999,35095,126438
2920,1998,37072,130099
2985.7,1997,39106,128814
2915.56,1996,40439,119874
2987.43,1995,41910,181025
3070.33,1994,42188,152776
3256.77,1993,42338,145115
3451.57,1992,42870,115864
3462.25,1991,43031,142976
3265.35,1990,43300,139000
3470.84,1989,43600,122000
3585.99,1988,43200,183000
3749.91,1987,43600,175000
4061.43,1986,43600,176000
4410.76,1985,43000,124000
4768.02,1984,43400,153000
5287.55,1983,43600,142000
5614.05,1982,43400,185000
5862.26,1981,44200,160000
4646.48,1980,45200,99300