Periode,Jumlah
1,174541
2,147704
3,168205
4,188776
5,190803
6,200566
7,235198
8,232255
9,218443
10,221282
11,184803
12,222546
1,179273
2,191926
3,192579
4,184907
5,203388
6,228045
7,254907
8,243154
9,240947
10,229904
11,199861
12,227251
1,209093
2,207195
3,207907
4,224704
5,209058
6,245652
7,283524
8,258377
9,258440
10,247565
11,221603
12,253591
1,253286
2,225993
3,230957
4,225488
5,220700
6,244080
7,271512
8,254079
9,257363
10,255021
11,242781
12,268072
1,232935
2,241868
3,252210
4,242369
5,247972
6,275667
7,297878
8,309219
9,305629
10,266562
11,307276
12,299013
1,279257
2,275795
3,276573
4,280096
5,286033
6,330396
7,361066
8,336763
9,354762
10,341651
11,296876
12,347370
1,301748
2,338991
3,305272
4,313763
5,295973
6,359702
7,382683
8,303621
9,389060
10,369447
11,270935
12,370640
1,350592
2,375744
3,364113
4,380767
5,394557
6,405835
7,484231
8,438135
9,445716
10,432215
11,413232
12,442800
1,460824
2,453985
3,425499
4,477464
5,489376
6,504141
7,592046
8,601884
9,550520
10,465085
11,361006
12,315909
1,358065
2,452423
3,492678
4,516777
5,528512
6,544550
7,624366
8,573766
9,555903
10,517889
11,406725
12,498819
1,455570
2,437456
3,449569
4,477069
5,486602
6,549516
7,604323
8,606412
9,590398
10,567967
11,497925
12,552403
1,536611
2,364639
3,167461