Periode,Wind Speed
Januari 2012,"5,59"
Februari 2012,"5,48"
Maret 2012,"6,09"
April 2012,"5,48"
Mei 2012,"5,23"
Juni 2012,"4,84"
Juli 2012,"4,85"
Agustus 2012,"4,45"
September 2012,"4,91"
Oktober 2012,"5,32"
November 2012,"5,55"
Desember 2012,"5,84"
Januari 2013,"5,96"
Februari 2013,"5,96"
Maret 2013,"6,25"
April 2013,"7,02"
Mei 2013,"5,48"
Juni 2013,"4,45"
Juli 2013,"4,36"
Agustus 2013,"4,49"
September 2013,"5,35"
Oktober 2013,"6,15"
November 2013,"5,35"
Desember 2013,"5,66"
Januari 2014,"5,94"
Februari 2014,"6,95"
Maret 2014,"6,54"
April 2014,"5,03"
Mei 2014,"5,45"
Juni 2014,"4,16"
Juli 2014,"4,28"
Agustus 2014,"5,80"
September 2014,"4,75"
Oktober 2014,"5,29"
November 2014,"5,41"
Desember 2014,"5,99"
Januari 2015,"6,09"
Februari 2015,"5,50"
Maret 2015,"5,88"
April 2015,"5,91"
Mei 2015,"5,22"
Juni 2015,"3,94"
Juli 2015,"5,23"
Agustus 2015,"4,48"
September 2015,"4,70"
Oktober 2015,"5,50"
November 2015,"4,91"
Desember 2015,"5,52"
Januari 2016,"5,11"
Februari 2016,"5,61"
Maret 2016,"5,24"
April 2016,"5,77"
Mei 2016,"5,85"
Juni 2016,"4,74"
Juli 2016,"4,18"
Agustus 2016,"5,00"
September 2016,"4,42"
Oktober 2016,"4,92"
November 2016,"5,38"
Desember 2016,"5,59"
Januari 2017,"6,01"
Februari 2017,"6,76"
Maret 2017,"5,05"
April 2017,"6,02"
Mei 2017,"4,62"
Juni 2017,"4,69"
Juli 2017,"4,84"
Agustus 2017,"4,34"
September 2017,"4,84"
Oktober 2017,"5,83"
November 2017,"5,24"
Desember 2017,"5,32"
Januari 2018,"6,05"
Februari 2018,"5,34"
Maret 2018,"6,19"
April 2018,"6,29"
Mei 2018,"5,58"
Juni 2018,"5,27"
Juli 2018,"5,55"
Agustus 2018,"5,78"
September 2018,"5,55"
Oktober 2018,"4,85"
November 2018,"4,27"
Desember 2018,"5,48"
Januari 2019,"5,86"
Februari 2019,"5,59"
Maret 2019,"5,90"
April 2019,"5,67"
Mei 2019,"4,95"
Juni 2019,"4,91"
Juli 2019,"4,56"
Agustus 2019,"4,87"
September 2019,"4,28"
Oktober 2019,"5,95"
November 2019,"5,40"
Desember 2019,"5,21"
Januari 2020,"5,11"
Februari 2020,"5,66"
Maret 2020,"5,96"
April 2020,"6,04"
Mei 2020,"5,30"
Juni 2020,"5,43"
Juli 2020,"6,70"
Agustus 2020,"3,74"
September 2020,"5,36"
Oktober 2020,"5,13"
November 2020,"5,39"
Desember 2020,"4,70"
Januari 2021,"4,10"
Februari 2021,"6,27"
Maret 2021,"6,16"
April 2021,"5,92"
Mei 2021,"5,84"
Juni 2021,"4,37"
Juli 2021,"3,74"
Agustus 2021,"5,58"
September 2021,"4,72"
Oktober 2021,"5,37"
November 2021,"5,27"
Desember 2021,"5,64"
Januari 2022,"5,60"
Februari 2022,"5,44"
Maret 2022,"5,62"
April 2022,"5,66"
Mei 2022,"4,62"
Juni 2022,"4,88"
Juli 2022,"4,01"
Agustus 2022,"5,61"
September 2022,"5,16"
Oktober 2022,"5,59"
November 2022,"5,29"
Desember 2022,"5,28"