YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,1,1,98.58,3.54,5.3,2.32,2.98,287.25,5.58,7.23,3.39,3.84,288.31
2021,1,2,98.82,3.2,4.85,1.63,3.22,231.75,4.59,7.06,2.77,4.3,233.06
2021,1,3,99.35,2.17,2.84,1.32,1.52,46.69,3.05,4.41,1.94,2.47,118.31
2021,1,4,99.56,1.99,3.06,0.62,2.44,225.31,2.95,5.2,0.76,4.45,225.81
2021,1,5,99.1,2.28,3.65,0.58,3.07,282.31,3.56,6.41,0.71,5.69,283.06
2021,1,6,98.54,2.66,4.51,0.24,4.27,167.12,3.94,6.59,0.44,6.14,211.62
2021,1,7,97.76,6.6,12.15,1.52,10.62,253.19,9.41,15.8,2.26,13.54,254.62
2021,1,8,97.97,3.76,6.16,2.16,4.0,270.25,5.88,7.86,3.41,4.45,271.75
2021,1,9,98.08,4.12,6.59,1.88,4.7,266.0,6.23,8.1,3.03,5.07,267.0
2021,1,10,98.75,2.51,3.87,0.26,3.61,205.5,3.7,5.82,0.26,5.55,219.19
2021,1,11,99.32,3.15,4.8,2.27,2.54,208.25,4.92,7.25,3.2,4.05,222.62
2021,1,12,98.67,2.01,3.28,0.77,2.52,336.56,2.99,5.07,0.77,4.3,333.06
2021,1,13,98.64,2.37,3.48,0.75,2.73,231.94,3.38,5.95,0.88,5.08,246.12
2021,1,14,99.01,2.88,4.23,1.1,3.13,186.94,4.52,7.32,1.5,5.82,187.25
2021,1,15,99.41,2.88,4.38,1.76,2.62,84.44,4.35,6.54,2.41,4.12,84.94
2021,1,16,98.46,4.95,9.44,2.45,6.98,270.62,7.56,12.29,4.0,8.29,271.5
2021,1,17,98.64,2.16,3.25,0.67,2.58,85.69,3.32,5.73,0.4,5.34,83.12
2021,1,18,98.53,2.91,5.81,0.88,4.94,182.81,4.7,9.48,1.2,8.28,183.56
2021,1,19,98.94,6.1,8.47,3.87,4.6,316.56,9.16,11.4,7.3,4.11,315.81
2021,1,20,100.01,3.7,6.45,1.55,4.9,177.56,5.31,7.89,2.3,5.59,190.81
2021,1,21,99.63,1.82,3.33,0.29,3.04,281.62,2.69,4.3,0.7,3.6,282.69
2021,1,22,99.01,2.63,4.45,1.82,2.62,168.75,4.03,7.22,2.04,5.19,168.44
2021,1,23,99.29,6.01,7.66,4.02,3.64,68.94,7.52,9.13,6.22,2.91,55.75
2021,1,24,99.16,6.92,8.43,4.89,3.54,348.5,8.99,9.95,7.83,2.12,350.56
2021,1,25,99.7,3.52,4.72,2.42,2.29,194.94,5.33,7.25,3.65,3.6,165.5
2021,1,26,99.56,1.95,3.48,0.34,3.13,211.44,2.85,5.56,0.21,5.35,212.06
2021,1,27,98.53,5.24,7.77,2.07,5.69,286.0,8.15,10.88,3.0,7.88,285.5
2021,1,28,98.48,4.57,6.64,2.15,4.49,95.12,6.35,7.91,3.64,4.27,96.75
2021,1,29,97.69,4.98,6.98,2.48,4.5,282.38,7.84,10.8,4.29,6.51,283.19
2021,1,30,98.94,3.3,5.91,0.88,5.03,270.0,5.08,7.81,1.27,6.54,268.75
2021,1,31,99.67,3.9,5.33,2.15,3.17,194.25,5.76,7.59,3.2,4.39,193.56
2021,2,1,99.48,4.17,8.25,1.35,6.9,220.0,6.21,12.52,1.75,10.76,220.38
2021,2,2,98.08,5.26,10.76,1.61,9.15,279.38,7.67,14.79,2.39,12.4,280.56
2021,2,3,98.73,2.65,4.37,1.24,3.12,277.12,3.83,5.28,1.78,3.51,261.75
2021,2,4,98.69,5.12,9.78,2.5,7.27,269.56,7.62,12.37,3.77,8.6,271.06
2021,2,5,99.03,2.53,3.91,1.16,2.76,259.56,3.7,5.48,1.37,4.12,261.0
2021,2,6,98.55,2.3,3.55,0.52,3.02,266.06,3.46,6.16,0.66,5.5,268.5
2021,2,7,98.3,2.72,4.03,2.08,1.95,294.69,4.23,6.0,2.76,3.24,295.94
2021,2,8,98.33,3.43,4.93,1.38,3.55,191.38,5.0,8.27,2.05,6.2,219.0
2021,2,9,98.94,3.96,6.35,1.91,4.45,327.19,5.99,8.6,3.02,5.58,325.56
2021,2,10,98.99,2.4,3.42,0.42,3.0,274.38,3.41,4.51,0.57,3.94,275.25
2021,2,11,99.14,4.46,7.27,2.66,4.61,286.81,6.52,9.05,3.92,5.12,286.19
2021,2,12,99.85,2.06,2.78,0.66,2.12,113.75,2.95,4.41,0.43,3.98,113.69
2021,2,13,99.91,3.28,5.07,1.84,3.23,235.06,5.02,6.88,2.13,4.74,235.88
2021,2,14,99.3,4.07,6.54,2.42,4.12,222.0,6.31,8.3,2.98,5.31,222.56
2021,2,15,96.95,6.59,12.2,3.06,9.14,197.75,10.16,16.04,6.34,9.7,198.81
2021,2,16,97.35,6.73,9.19,4.81,4.38,263.88,10.45,13.66,8.62,5.05,265.5
2021,2,17,97.19,7.99,11.28,5.92,5.36,251.75,11.49,14.09,9.32,4.76,253.38
2021,2,18,97.74,3.59,5.84,2.35,3.49,292.06,5.56,9.48,3.81,5.66,293.25
2021,2,19,98.48,3.42,4.51,1.96,2.55,256.38,5.31,8.16,2.48,5.68,258.25
2021,2,20,98.14,5.68,9.24,2.94,6.3,238.88,8.53,11.55,4.5,7.05,240.75
2021,2,21,98.39,3.57,4.09,2.96,1.13,246.75,5.64,7.53,4.01,3.52,248.38
2021,2,22,98.23,4.19,6.2,2.87,3.34,240.88,6.41,9.66,3.2,6.45,242.25
2021,2,23,98.29,5.8,7.73,3.27,4.45,323.62,8.2,10.58,5.63,4.95,322.25
2021,2,24,99.13,4.92,7.02,3.27,3.74,265.56,7.39,8.88,5.98,2.91,278.75
2021,2,25,99.48,3.17,4.62,0.6,4.02,191.81,4.77,6.51,0.25,6.26,203.31
2021,2,26,99.24,3.79,5.51,2.8,2.7,220.25,5.74,8.45,3.65,4.8,219.5
2021,2,27,99.8,6.94,11.05,3.0,8.05,60.38,9.46,13.34,5.27,8.07,59.81
2021,2,28,100.44,2.64,3.23,0.93,2.3,215.25,3.88,5.45,0.9,4.55,216.81
2021,3,1,99.65,4.16,6.85,2.37,4.48,212.19,6.41,8.64,3.34,5.3,212.38
2021,3,2,98.17,9.42,13.96,4.43,9.52,240.19,12.77,17.74,8.03,9.71,240.75
2021,3,3,99.69,6.47,10.12,2.51,7.62,176.19,8.73,12.13,4.42,7.7,175.31
2021,3,4,100.29,2.34,3.49,0.65,2.84,153.06,3.26,4.58,0.6,3.98,154.94
2021,3,5,99.57,1.62,2.72,0.88,1.84,122.12,2.23,3.13,1.05,2.08,124.56
2021,3,6,99.05,4.95,8.57,2.0,6.57,148.75,6.92,11.22,3.64,7.58,148.12
2021,3,7,99.79,4.3,6.77,1.95,4.81,55.0,5.51,8.27,3.02,5.26,54.56
2021,3,8,99.63,3.52,4.66,2.16,2.51,171.81,4.87,6.3,3.95,2.34,171.88
2021,3,9,99.58,3.02,4.88,1.3,3.58,206.81,4.3,7.03,1.23,5.8,163.56
2021,3,10,99.24,5.58,8.55,2.56,5.99,228.31,7.79,10.62,3.91,6.71,227.31
2021,3,11,99.89,2.87,5.11,0.8,4.31,123.12,4.16,6.66,0.53,6.14,126.81
2021,3,12,99.59,2.14,3.39,0.3,3.09,215.94,3.0,4.59,0.46,4.12,216.0
2021,3,13,98.05,5.33,7.92,1.87,6.05,148.38,7.55,10.71,3.04,7.66,150.62
2021,3,14,98.06,6.2,8.78,3.84,4.95,320.19,9.27,11.3,7.48,3.83,319.56
2021,3,15,98.65,3.84,6.3,1.4,4.9,259.81,5.75,8.05,1.9,6.14,258.75
2021,3,16,98.24,4.98,10.13,1.07,9.06,228.62,6.96,12.71,1.55,11.16,230.88
2021,3,17,98.49,4.15,5.65,2.9,2.75,99.5,6.2,8.99,4.28,4.72,127.25
2021,3,18,99.02,2.97,5.42,0.86,4.56,143.38,4.2,6.64,1.34,5.3,160.38
2021,3,19,99.19,3.62,5.15,2.12,3.03,134.31,5.14,6.23,3.7,2.53,133.56
2021,3,20,99.18,3.08,4.52,1.7,2.83,107.56,4.8,7.52,1.93,5.59,109.25
2021,3,21,97.91,8.84,13.7,2.14,11.56,198.75,12.04,17.38,3.92,13.45,199.88
2021,3,22,98.09,4.83,7.43,2.8,4.63,206.44,6.55,9.46,5.04,4.42,205.19
2021,3,23,99.22,2.66,4.67,0.38,4.3,218.06,3.9,6.54,0.4,6.15,264.56
2021,3,24,99.56,4.58,7.48,1.79,5.69,217.44,6.41,9.24,2.55,6.7,218.69
2021,3,25,99.09,3.74,4.98,2.23,2.75,232.94,6.01,7.97,3.66,4.31,233.56
2021,3,26,98.79,4.3,8.74,1.96,6.78,316.25,6.63,11.09,2.63,8.47,317.75
2021,3,27,99.42,3.14,4.49,1.27,3.23,189.88,4.73,7.32,1.08,6.24,191.38
2021,3,28,98.68,7.23,9.89,3.88,6.02,187.5,10.36,12.73,7.75,4.98,188.31
2021,3,29,97.58,4.05,10.53,0.36,10.17,228.81,5.78,14.34,0.77,13.58,232.12
2021,3,30,98.1,2.57,3.27,1.63,1.64,93.31,3.66,5.75,1.72,4.03,93.38
2021,3,31,98.43,3.63,6.57,1.11,5.46,147.44,5.2,7.93,1.76,6.17,146.31
2021,4,1,99.26,2.64,3.94,0.91,3.02,74.25,3.83,5.89,0.76,5.14,74.75
2021,4,2,99.9,3.88,4.93,2.33,2.61,63.88,5.41,6.42,3.62,2.79,64.56
2021,4,3,99.45,2.79,4.38,1.44,2.95,132.5,3.88,6.16,2.02,4.14,134.06
2021,4,4,98.43,5.86,8.34,3.53,4.8,205.44,8.37,10.34,6.53,3.8,206.25
2021,4,5,98.33,6.21,8.54,2.55,5.98,150.19,8.28,10.45,4.58,5.87,150.0
2021,4,6,99.05,4.81,6.67,2.27,4.41,66.25,6.6,8.67,4.28,4.4,51.62
2021,4,7,98.6,2.41,3.95,0.66,3.29,219.69,3.43,5.35,0.13,5.22,238.25
2021,4,8,98.58,3.37,5.37,1.3,4.07,173.56,4.93,7.28,0.91,6.37,159.81
2021,4,9,99.14,4.48,8.14,0.73,7.41,121.44,5.95,10.2,0.76,9.44,133.5
2021,4,10,100.12,3.74,6.16,2.45,3.7,128.19,5.16,8.27,2.44,5.83,110.69
2021,4,11,100.5,2.54,3.44,1.75,1.69,124.88,3.44,5.26,1.62,3.63,123.88
2021,4,12,100.31,2.9,5.38,0.54,4.84,157.62,3.96,6.84,0.66,6.18,158.94
2021,4,13,99.08,6.09,9.97,2.95,7.02,188.81,8.62,12.45,5.05,7.41,189.38
2021,4,14,97.91,6.34,8.8,0.66,8.14,130.12,8.38,10.88,1.2,9.68,130.19
2021,4,15,99.27,3.97,6.22,2.02,4.2,70.38,5.33,7.99,2.55,5.44,68.81
2021,4,16,99.77,2.96,5.06,1.59,3.48,115.81,4.21,6.1,1.66,4.44,117.38
2021,4,17,98.85,4.33,6.47,1.22,5.25,160.31,6.52,8.33,2.47,5.86,161.0
2021,4,18,97.37,6.13,9.18,1.56,7.62,262.62,9.04,11.25,2.95,8.31,264.19
2021,4,19,98.31,3.25,5.7,0.5,5.2,264.62,4.89,7.58,1.06,6.52,266.19
2021,4,20,98.73,2.62,3.73,1.35,2.38,257.56,3.52,6.66,2.23,4.43,260.94
2021,4,21,99.13,3.23,5.59,0.75,4.85,216.12,4.84,8.96,1.21,7.75,227.69
2021,4,22,99.16,4.91,7.39,3.01,4.38,275.75,7.41,9.95,5.12,4.84,275.12
2021,4,23,99.42,3.83,5.37,1.84,3.53,69.56,4.96,6.77,2.62,4.13,67.81
2021,4,24,99.22,2.49,3.6,0.66,2.94,167.81,3.63,7.12,0.8,6.32,151.75
2021,4,25,98.51,3.51,8.38,0.73,7.66,189.81,5.2,11.47,0.86,10.62,184.5
2021,4,26,99.02,5.85,8.34,2.64,5.7,114.5,7.97,10.12,5.05,5.07,188.0
2021,4,27,99.49,4.11,7.07,1.34,5.73,151.5,5.77,9.8,1.34,8.46,155.19
2021,4,28,99.22,5.59,8.38,2.97,5.41,227.56,7.88,10.32,4.32,6.0,229.12
2021,4,29,98.16,8.04,10.4,4.06,6.34,196.25,11.09,14.07,7.59,6.48,197.5
2021,4,30,97.52,4.33,8.39,0.68,7.71,255.38,6.11,10.64,1.09,9.55,258.31
2021,5,1,97.78,6.28,14.16,1.4,12.76,140.25,8.13,19.07,1.45,17.62,142.69
2021,5,2,97.4,7.03,9.61,3.23,6.37,264.94,9.84,12.84,6.3,6.55,266.88
2021,5,3,98.57,3.59,5.55,2.29,3.27,287.12,5.39,9.3,3.09,6.22,289.69
2021,5,4,98.95,3.05,5.43,1.2,4.23,221.75,4.3,7.52,1.57,5.95,223.38
2021,5,5,98.88,7.67,10.73,3.79,6.95,216.06,10.66,13.67,6.94,6.73,217.0
2021,5,6,98.89,3.73,8.3,1.22,7.08,160.12,4.95,10.05,1.93,8.12,144.06
2021,5,7,98.56,2.2,4.0,0.17,3.83,220.75,3.07,6.77,0.21,6.56,219.0
2021,5,8,97.86,4.02,6.91,1.26,5.65,222.62,5.63,9.49,1.59,7.9,225.5
2021,5,9,97.63,5.89,7.57,2.87,4.7,219.06,8.23,10.33,5.1,5.23,221.25
2021,5,10,98.29,3.03,4.92,0.92,4.0,198.56,4.24,5.89,1.38,4.51,200.62
2021,5,11,98.76,2.14,3.11,1.45,1.66,67.69,2.98,5.28,1.78,3.5,67.06
2021,5,12,99.29,3.03,4.19,1.42,2.76,94.25,4.31,5.48,2.03,3.44,95.06
2021,5,13,98.88,3.61,5.39,1.29,4.11,54.19,4.84,6.5,1.8,4.7,56.0
2021,5,14,98.55,2.94,4.28,0.91,3.38,220.12,4.22,6.73,1.02,5.7,231.69
2021,5,15,99.03,3.86,6.7,0.45,6.23,156.69,5.23,8.07,0.86,7.22,158.25
2021,5,16,98.68,5.2,7.53,3.03,4.51,194.5,7.2,8.96,5.69,3.27,195.12
2021,5,17,97.77,9.11,12.54,5.38,7.16,215.81,11.88,15.68,7.97,7.71,217.56
2021,5,18,98.15,3.51,4.54,1.9,2.65,137.62,4.45,7.16,3.31,3.84,138.75
2021,5,19,98.4,2.36,4.02,1.01,3.02,114.44,3.13,4.89,0.83,4.06,99.56
2021,5,20,98.68,2.76,4.38,0.79,3.59,150.56,3.73,7.33,1.26,6.06,151.25
2021,5,21,97.87,9.22,12.27,4.27,8.0,209.62,12.25,15.67,6.74,8.94,211.56
2021,5,22,97.69,4.22,5.83,2.24,3.59,222.38,5.89,7.24,4.15,3.09,224.38
2021,5,23,98.02,2.96,5.45,0.39,5.05,169.88,3.92,6.0,0.63,5.37,188.0
2021,5,24,98.0,3.49,6.16,1.26,4.9,236.25,4.78,8.92,1.5,7.43,238.19
2021,5,25,97.56,4.85,8.16,0.73,7.43,216.12,6.76,10.05,0.62,9.43,230.12
2021,5,26,98.16,2.52,3.66,0.34,3.31,232.06,3.62,5.95,0.64,5.3,232.81
2021,5,27,97.85,3.08,6.94,0.32,6.62,201.25,4.09,8.35,0.43,7.92,187.88
2021,5,28,97.74,3.88,6.72,0.96,5.76,206.38,5.06,9.31,0.91,8.4,208.38
2021,5,29,97.48,6.21,7.55,2.31,5.24,222.5,8.52,9.45,3.81,5.64,224.75
2021,5,30,98.01,2.98,4.67,1.84,2.84,139.75,4.13,5.63,1.53,4.1,138.81
2021,5,31,98.53,3.18,5.48,2.15,3.33,124.25,4.58,6.59,2.98,3.62,125.75
2021,6,1,98.92,3.12,4.34,1.99,2.34,117.56,4.36,6.98,1.99,4.98,116.81
2021,6,2,99.12,3.29,4.52,2.23,2.28,189.88,4.7,5.45,3.75,1.7,190.94
2021,6,3,98.83,2.86,4.67,0.5,4.17,159.69,3.98,6.01,0.66,5.35,159.81
2021,6,4,97.52,7.62,12.85,1.3,11.55,168.69,10.3,16.52,2.59,13.94,169.0
2021,6,5,97.73,2.89,4.69,1.45,3.24,109.5,4.07,6.79,1.98,4.81,109.94
2021,6,6,98.22,1.89,3.07,0.02,3.05,196.81,3.09,5.96,0.29,5.67,209.81
2021,6,7,98.66,2.13,3.52,0.34,3.19,222.12,3.35,5.8,0.59,5.2,218.38
2021,6,8,98.6,2.23,4.82,0.84,3.99,157.31,3.44,6.77,0.77,6.0,152.25
2021,6,9,98.9,2.89,3.54,2.25,1.28,130.25,4.15,5.19,3.48,1.7,128.81
2021,6,10,99.21,2.28,3.05,1.23,1.81,157.81,3.09,5.38,1.22,4.16,141.12
2021,6,11,99.25,2.98,4.7,1.15,3.55,181.81,4.04,6.02,1.61,4.41,182.38
2021,6,12,99.0,4.34,6.77,2.29,4.48,198.25,5.94,8.14,4.21,3.93,200.12
2021,6,13,98.44,3.77,4.82,2.72,2.1,207.0,5.42,6.8,4.05,2.74,208.88
2021,6,14,98.07,2.49,4.34,1.34,3.02,174.69,3.7,6.73,1.31,5.42,176.25
2021,6,15,97.93,2.6,5.16,0.82,4.34,171.94,3.48,6.38,0.86,5.52,172.5
2021,6,16,98.05,2.76,4.15,1.8,2.35,133.5,4.0,4.98,3.34,1.64,133.62
2021,6,17,97.93,4.15,5.77,1.68,4.09,50.19,5.7,6.84,3.2,3.65,49.81
2021,6,18,97.82,3.06,5.45,0.59,4.86,141.75,4.35,6.41,0.47,5.95,143.62
2021,6,19,97.55,4.57,6.59,2.38,4.21,191.75,6.4,8.19,4.37,3.82,192.62
2021,6,20,97.24,3.66,7.5,0.25,7.24,57.81,4.9,9.02,0.59,8.41,57.0
2021,6,21,97.82,3.03,4.13,1.35,2.78,98.31,4.3,6.3,1.23,5.08,97.0
2021,6,22,98.13,2.6,3.88,1.48,2.4,159.56,3.59,5.23,2.05,3.18,159.44
2021,6,23,98.35,2.76,3.98,1.59,2.38,83.25,3.86,4.74,2.57,2.18,83.38
2021,6,24,98.49,3.54,5.68,2.11,3.57,146.69,5.02,6.79,3.1,3.69,148.06
2021,6,25,98.63,2.63,4.03,1.63,2.4,165.75,3.81,4.95,2.6,2.34,166.19
2021,6,26,98.65,2.12,3.73,1.03,2.7,134.06,2.77,4.74,1.44,3.3,132.81
2021,6,27,98.33,1.81,2.95,0.17,2.77,84.19,2.4,3.55,0.21,3.34,83.25
2021,6,28,97.95,2.42,3.72,1.66,2.05,104.62,3.45,4.66,2.23,2.43,103.38
2021,6,29,97.65,4.87,8.02,1.89,6.13,55.69,6.3,9.55,2.14,7.41,56.0
2021,6,30,98.55,2.89,5.43,1.49,3.94,90.25,3.85,7.19,2.07,5.12,90.31
2021,7,1,98.62,2.86,5.64,0.89,4.76,76.56,3.84,6.8,1.44,5.36,77.56
